Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,amenity_score,distance_to_cbd_km,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
Kilimani,Apartment,3,3,176.53311115283998,SQ,13500000.0,76472.91,0.5,3.85,6,0.034,1.0,0,Apartment
Thome,House,3,3,134.0,"Gym, Lift, SQ",14500000.0,108208.96,4.0,7.25,6,0.0448,1.0,0,House
Karen,Maisonette,5,2,550.0,"Gym, SQ, Gate",155000000.0,281818.18,3.0,12.49,7,0.0127,0.4,0,House
Hurlingham,Apartment,3,3,250.0,SQ,20000000.0,80000.0,0.5,4.38,6,0.024,1.0,0,Apartment
Hurlingham,Apartment,3,3,173.0,SQ,18500000.0,106936.42,0.5,4.38,6,0.0347,1.0,0,Apartment
Kileleshwa,House,4,4,338.0,SQ,34000000.0,100591.72,0.5,3.33,8,0.0237,1.0,0,House
Kilimani,Apartment,2,2,61.0,SQ,6200000.0,101639.34,0.5,3.85,4,0.0656,1.0,0,Apartment
Karen,Villa,5,4,600.0,SQ,155000000.0,258333.33,0.5,12.49,9,0.015,0.8,0,House
Westlands,Land,5,5,400.0,SQ,110000000.0,275000.0,0.5,2.93,10,0.025,1.0,0,Other
Githurai,Bedsitter,1,4,465.0,SQ,34500000.0,74193.55,0.5,18.16,5,0.0108,4.0,0,Apartment
South C,Land,4,4,650.0,SQ,110000000.0,169230.77,0.5,3.4,8,0.0123,1.0,0,Other
Donholm,Maisonette,4,5,160.0,"SQ, Gate",18000000.0,112500.0,1.0,8.87,9,0.0562,1.25,0,House
Kilimani,Apartment,3,3,118.0,SQ,14800000.0,125423.73,0.5,3.85,6,0.0508,1.0,0,Apartment
Runda,Villa,5,4,500.0,SQ,150000000.0,300000.0,0.5,7.43,9,0.018,0.8,0,House
Zimmerman,Commercial,1,2,465.0,SQ,151000000.0,324731.18,0.5,3.85,3,0.0065,2.0,0,Other
Ridgeways,Maisonette,5,4,500.0,SQ,150000000.0,300000.0,0.5,7.64,9,0.018,0.8,0,House
Hurlingham,House,4,4,295.0,SQ,29000000.0,98305.08,0.5,4.38,8,0.0271,1.0,0,House
Kitisuru,Apartment,2,2,112.0,SQ,12500000.0,111607.14,0.5,6.42,4,0.0357,1.0,0,Apartment
Komarock,Maisonette,4,4,550.0,SQ,11000000.0,20000.0,0.5,10.34,8,0.0145,1.0,0,House
Karen,Villa,5,5,600.0,SQ,99000000.0,165000.0,0.5,12.49,10,0.0167,1.0,0,House
Garden Estate,House,4,6,350.0,"Garden, SQ",55000000.0,157142.86,1.0,8.24,10,0.0286,1.5,0,House
South C,Apartment,3,3,1005.6464101572044,Gate,18000000.0,17898.94,0.5,3.4,6,0.006,1.0,0,Apartment
Kilimani,Apartment,4,4,1000.0,"Swimming Pool, Gym, Balcony, SQ",27800000.0,27800.0,5.0,3.85,8,0.008,1.0,0,Apartment
Kileleshwa,Apartment,2,2,125.0,SQ,14500000.0,116000.0,0.5,3.33,4,0.032,1.0,0,Apartment
Kilimani,Apartment,1,1,31.0,SQ,3400000.0,109677.42,0.5,3.85,2,0.0645,1.0,0,Apartment
Kiambu,Townhouse,4,4,310.0,SQ,65000000.0,209677.42,0.5,12.98,8,0.0258,1.0,0,House
Kileleshwa,Apartment,2,2,166.0,SQ,14000000.0,84337.35,0.5,3.33,4,0.0241,1.0,0,Apartment
Dagoretti,Townhouse,6,6,250.0,SQ,25000000.0,100000.0,0.5,7.67,12,0.048,1.0,0,House
Westlands,Land,2,2,110.0,"Swimming Pool, Gym, Lift, SQ, Laundry",14500000.0,131818.18,6.5,2.93,4,0.0364,1.0,0,Other
Kileleshwa,Apartment,4,4,260.0,SQ,23500000.0,90384.62,0.5,3.33,8,0.0308,1.0,0,Apartment
Garden Estate,Commercial,5,6,450.0,"Garden, SQ",90000000.0,200000.0,1.0,8.24,11,0.0244,1.2,0,Other
Westlands,Land,1,1,55.0,"Parking, SQ",6200000.0,112727.27,1.0,2.93,2,0.0364,1.0,0,Other
Kahawa,Apartment,2,2,70.0,SQ,5100000.0,72857.14,0.5,16.05,4,0.0571,1.0,0,Apartment
