Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,amenity_score,distance_to_cbd_km,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
Embakasi,Apartment,3,5,135.0,SQ,8750000.0,64814.81,0.5,9.38,8,0.0593,1.67,0,Apartment
Kilimani,House,3,3,204.0,SQ,29400000.0,144117.65,0.5,3.85,6,0.0294,1.0,0,House
Embakasi,Bungalow,4,6,450.0,"SQ, Gate",20000000.0,44444.44,1.0,9.38,10,0.0222,1.5,0,House
Lavington,House,1,1,60.0,SQ,7600000.0,126666.67,0.5,5.48,2,0.0333,1.0,0,House
Dagoretti,Bungalow,3,5,200.0,SQ,20000000.0,100000.0,0.5,7.67,8,0.04,1.67,0,House
Kileleshwa,Bungalow,1,1,60.0,"Gym, Lift, SQ",7000000.0,116666.67,4.0,3.33,2,0.0333,1.0,0,House
Westlands,Land,3,10,64.0,SQ,6500000.0,101562.5,0.5,2.93,13,0.2031,3.33,0,Other
Runda,House,4,4,380.0,SQ,120000000.0,315789.47,0.5,7.43,8,0.0211,1.0,0,House
Kabete,Apartment,2,2,334.83758322882056,Lift,12500000.0,37331.53,1.5,9.35,4,0.0119,1.0,0,Apartment
Dagoretti,Apartment,1,3,80.0,"Parking, SQ, Lift",6500000.0,81250.0,2.5,7.67,4,0.05,3.0,0,Apartment
Parklands,Land,3,3,190.0,SQ,14000000.0,73684.21,0.5,2.72,6,0.0316,1.0,0,Other
Embakasi,Maisonette,3,5,250.0,SQ,9999999.0,40000.0,0.5,9.38,8,0.032,1.67,0,House
Kahawa,Apartment,4,4,105.0,SQ,13000000.0,123809.52,0.5,16.05,8,0.0762,1.0,0,Apartment
Nairobi,Bungalow,2,2,100.0,SQ,2600000.0,26000.0,0.5,0.0,4,0.04,1.0,0,House
Westlands,Land,2,2,270.0,SQ,13500000.0,50000.0,0.5,2.93,4,0.0148,1.0,0,Other
Mwiki,Bungalow,3,10,2500.0,SQ,6200000.0,2480.0,0.5,3.85,13,0.0052,3.33,0,House
Valley Arcade,Townhouse,4,4,400.0,"SQ, Store",65000000.0,162500.0,1.0,3.71,8,0.02,1.0,0,House
Westlands,Townhouse,4,2,2500.0,"Swimming Pool, Garden, SQ, Gate",26500000.0,10600.0,3.5,2.93,6,0.0024,0.5,0,House
Lavington,Villa,5,4,557.0,"Swimming Pool, SQ",155000000.0,278276.48,2.5,5.48,9,0.0162,0.8,0,House
Parklands,Land,3,3,200.0,SQ,19500000.0,97500.0,0.5,2.72,6,0.03,1.0,0,Other
Hurlingham,Apartment,3,3,167.0,SQ,18000000.0,107784.43,0.5,4.38,6,0.0359,1.0,0,Apartment
Nairobi,Apartment,2,2,95.0,SQ,8000000.0,84210.53,0.5,0.0,4,0.0421,1.0,0,Apartment
Westlands,Land,3,3,200.0,SQ,28000000.0,140000.0,0.5,2.93,6,0.03,1.0,0,Other
Westlands,Land,1,1,58.0,SQ,7300000.0,125862.07,0.5,2.93,2,0.0345,1.0,0,Other
Kilimani,Apartment,4,4,400.0,SQ,28000000.0,70000.0,0.5,3.85,8,0.02,1.0,0,Apartment
Dagoretti,Studio,1,2,24.0,SQ,2700000.0,112500.0,0.5,7.67,3,0.125,2.0,0,Apartment
Hurlingham,Apartment,2,3,102.0,SQ,10500000.0,102941.18,0.5,4.38,5,0.049,1.5,0,Apartment
Hurlingham,House,1,2,56.0,SQ,8800000.0,157142.86,0.5,4.38,3,0.0536,2.0,0,House
Imara Daima,Villa,2,1,79.30102938304105,Garden,4500000.0,56745.8,0.5,8.83,3,0.0378,0.5,0,House
Valley Arcade,Apartment,4,4,400.0,SQ,16000000.0,40000.0,0.5,3.71,8,0.02,1.0,0,Apartment
Kilimani,Apartment,2,2,185.0,SQ,11000000.0,59459.46,0.5,3.85,4,0.0216,1.0,0,Apartment
Ruiru,Maisonette,4,4,262.0,SQ,20500000.0,78244.27,0.5,22.35,8,0.0305,1.0,0,House
Nairobi,Bungalow,3,3,152.0,"SQ, Gate",9750000.0,64144.74,1.0,0.0,6,0.0395,1.0,0,House
Valley Arcade,Apartment,4,4,251.0,SQ,27000000.0,107569.72,0.5,3.71,8,0.0319,1.0,0,Apartment
Nairobi,Bungalow,3,3,150.0,SQ,9750000.0,65000.0,0.5,0.0,6,0.04,1.0,0,House
Lavington,Apartment,4,4,400.0,SQ,110000000.0,275000.0,0.5,5.48,8,0.02,1.0,0,Apartment
Kileleshwa,Apartment,4,4,270.0,SQ,24500000.0,90740.74,0.5,3.33,8,0.0296,1.0,0,Apartment
Kahawa Wendani,House,6,5,600.0,SQ,28000000.0,46666.67,0.5,16.84,11,0.0183,0.83,0,House
Ridgeways,Townhouse,4,4,320.0,SQ,75000000.0,234375.0,0.5,7.64,8,0.025,1.0,0,House
